Literacy Pillar,Resource Type,Resource Name,Related Screeners,Related Subtests,Grade Range,Grade Filter,Notes,Hyperlink URL
Phonics,Drill Down Assessment,Core Phonics Assessment - version française,THaFoL; IDAPEL,Facilité à nommer des lettres; Facilité à lire des non-mots; Facilité à lire des mots; Facilité en lecture orale,,,,https://lrsdcdn.sharepoint.com/sites/TeachingLearning/curriculum/Literacy/Early%20Literacy/Forms/AllItems.aspx?id=%2Fsites%2FTeachingLearning%2Fcurriculum%2FLiteracy%2FEarly%20Literacy%2FLitt%C3%A9ratie%20structur%C3%A9e%2FLes%20%C3%A9valuations%20et%20les%20interventions%2FPhon%C3%A9tique%2FFrench%20CORE%20phonics%20Assessment%2Epdf&parent=%2Fsites%2FTeachingLearning%2Fcurriculum%2FLiteracy%2FEarly%20Literacy%2FLitt%C3%A9ratie%20structur%C3%A9e%2FLes%20%C3%A9valuations%20et%20les%20interventions%2FPhon%C3%A9tique
Phonics,Drill Down Assessment,Inventaires d’orthographe,THaFoL; IDAPEL,Facilité à nommer des lettres; Facilité à lire des non-mots; Facilité à lire des mots; Facilité en lecture orale,,,,https://lrsdcdn.sharepoint.com/sites/TeachingLearning/curriculum/Literacy/Early%20Literacy/Forms/AllItems.aspx?csf=1&web=1&e=kLXR42&CID=c3191924%2D1b8e%2D4da4%2D8ad5%2De76af0854b8b&FolderCTID=0x012000F20499129962D74E9046ECDF35332B03&id=%2Fsites%2FTeachingLearning%2Fcurriculum%2FLiteracy%2FEarly%20Literacy%2FLitt%C3%A9ratie%20structur%C3%A9e%2FLes%20%C3%A9valuations%20et%20les%20interventions%2FPhon%C3%A9tique%2FInventaire%20d%27orthographe%20M%2D12
Phonics,Intervention,Programme d’intervention en lecture et en orthographe,THaFoL; IDAPEL,Facilité à nommer des lettres; Facilité à lire des non-mots; Facilité à lire des mots; Facilité en lecture orale,(M-3),"M,1,2,3",,https://lrsdcdn.sharepoint.com/sites/TeachingLearning/curriculum/Literacy/Early%20Literacy/Forms/AllItems.aspx?id=%2Fsites%2FTeachingLearning%2Fcurriculum%2FLiteracy%2FEarly%20Literacy%2FLitt%C3%A9ratie%20structur%C3%A9e%2FLes%20%C3%A9valuations%20et%20les%20interventions%2FLes%20interventions&viewid=46f2e15a%2D621a%2D4c2d%2Da473%2D2d8c27980932
Phonics,Intervention,Les leçons du CBE,THaFoL; IDAPEL,Facilité à nommer des lettres; Facilité à lire des non-mots; Facilité à lire des mots; Facilité en lecture orale,(3-12),"3,4,5,6,7,8,9,10,11,12",,https://lrsdcdn.sharepoint.com/:f:/r/sites/TeachingLearning/curriculum/Literacy/Early%20Literacy/Litt%C3%A9ratie%20structur%C3%A9e/La%20phon%C3%A9tique/Le%C3%A7ons%20du%20CBE%20M-7e%20ann%C3%A9e?csf=1&web=1&e=jb0IaL
Phonics,Intervention,Son au graphe,THaFoL; IDAPEL,Facilité à nommer des lettres; Facilité à lire des non-mots; Facilité à lire des mots; Facilité en lecture orale,(3-12),"3,4,5,6,7,8,9,10,11,12",,https://lrsdcdn.sharepoint.com/:f:/r/sites/TeachingLearning/curriculum/Literacy/Early%20Literacy/Litt%C3%A9ratie%20structur%C3%A9e/La%20phon%C3%A9tique/Son%20au%20Graphe%20(UFLI%20fran%C3%A7ais)?csf=1&web=1&e=xGgV6H
Reading Fluency,Intervention,Programme d’intervention en lecture et en orthographe,THaFoL; IDAPEL,Facilité à nommer des lettres; Facilité à lire des non-mots; Facilité à lire des mots; Facilité en lecture orale,(M-3),"M,1,2,3",,https://lrsdcdn.sharepoint.com/sites/TeachingLearning/curriculum/Literacy/Early%20Literacy/Forms/AllItems.aspx?id=%2Fsites%2FTeachingLearning%2Fcurriculum%2FLiteracy%2FEarly%20Literacy%2FLitt%C3%A9ratie%20structur%C3%A9e%2FLes%20%C3%A9valuations%20et%20les%20interventions%2FLes%20interventions&viewid=46f2e15a%2D621a%2D4c2d%2Da473%2D2d8c27980932
Reading Fluency,Intervention,Les leçons du CBE,THaFoL; IDAPEL,Facilité à nommer des lettres; Facilité à lire des non-mots; Facilité à lire des mots; Facilité en lecture orale,(3-12),"3,4,5,6,7,8,9,10,11,12",,https://lrsdcdn.sharepoint.com/:f:/r/sites/TeachingLearning/curriculum/Literacy/Early%20Literacy/Litt%C3%A9ratie%20structur%C3%A9e/La%20phon%C3%A9tique/Le%C3%A7ons%20du%20CBE%20M-7e%20ann%C3%A9e?csf=1&web=1&e=jb0IaL
Reading Fluency,Intervention,Son au graphe,THaFoL; IDAPEL,Facilité à nommer des lettres; Facilité à lire des non-mots; Facilité à lire des mots; Facilité en lecture orale,(3-12),"3,4,5,6,7,8,9,10,11,12",,https://lrsdcdn.sharepoint.com/:f:/r/sites/TeachingLearning/curriculum/Literacy/Early%20Literacy/Litt%C3%A9ratie%20structur%C3%A9e/La%20phon%C3%A9tique/Son%20au%20Graphe%20(UFLI%20fran%C3%A7ais)?csf=1&web=1&e=xGgV6H
Vocabulary,Intervention,Programme d’intervention en lecture et en orthographe,THaFoL; IDAPEL,Facilité à nommer des lettres; Facilité à lire des non-mots; Facilité à lire des mots; Facilité en lecture orale,(M-3),"M,1,2,3",,https://lrsdcdn.sharepoint.com/sites/TeachingLearning/curriculum/Literacy/Early%20Literacy/Forms/AllItems.aspx?id=%2Fsites%2FTeachingLearning%2Fcurriculum%2FLiteracy%2FEarly%20Literacy%2FLitt%C3%A9ratie%20structur%C3%A9e%2FLes%20%C3%A9valuations%20et%20les%20interventions%2FLes%20interventions&viewid=46f2e15a%2D621a%2D4c2d%2Da473%2D2d8c27980932
Vocabulary,Intervention,Les leçons du CBE,THaFoL; IDAPEL,Facilité à nommer des lettres; Facilité à lire des non-mots; Facilité à lire des mots; Facilité en lecture orale,(3-12),"3,4,5,6,7,8,9,10,11,12",,https://lrsdcdn.sharepoint.com/:f:/r/sites/TeachingLearning/curriculum/Literacy/Early%20Literacy/Litt%C3%A9ratie%20structur%C3%A9e/La%20phon%C3%A9tique/Le%C3%A7ons%20du%20CBE%20M-7e%20ann%C3%A9e?csf=1&web=1&e=jb0IaL
Vocabulary,Intervention,Son au graphe,THaFoL; IDAPEL,Facilité à nommer des lettres; Facilité à lire des non-mots; Facilité à lire des mots; Facilité en lecture orale,(3-12),"3,4,5,6,7,8,9,10,11,12",,https://lrsdcdn.sharepoint.com/:f:/r/sites/TeachingLearning/curriculum/Literacy/Early%20Literacy/Litt%C3%A9ratie%20structur%C3%A9e/La%20phon%C3%A9tique/Son%20au%20Graphe%20(UFLI%20fran%C3%A7ais)?csf=1&web=1&e=xGgV6H
Reading Comprehension,Drill Down Assessment,Diffit – Produire ses propres textes et questions de compréhension,THaFoL; IDAPEL,Facilité à nommer des lettres; Facilité à lire des non-mots; Facilité à lire des mots; Facilité en lecture orale,,,Outil IA,https://web.diffit.me/
Reading Comprehension,Intervention,Programme d’intervention en lecture et en orthographe,THaFoL; IDAPEL,Facilité à nommer des lettres; Facilité à lire des non-mots; Facilité à lire des mots; Facilité en lecture orale,(M-3),"M,1,2,3",,https://lrsdcdn.sharepoint.com/sites/TeachingLearning/curriculum/Literacy/Early%20Literacy/Forms/AllItems.aspx?id=%2Fsites%2FTeachingLearning%2Fcurriculum%2FLiteracy%2FEarly%20Literacy%2FLitt%C3%A9ratie%20structur%C3%A9e%2FLes%20%C3%A9valuations%20et%20les%20interventions%2FLes%20interventions&viewid=46f2e15a%2D621a%2D4c2d%2Da473%2D2d8c27980932
Reading Comprehension,Intervention,Les leçons du CBE,THaFoL; IDAPEL,Facilité à nommer des lettres; Facilité à lire des non-mots; Facilité à lire des mots; Facilité en lecture orale,(3-12),"3,4,5,6,7,8,9,10,11,12",,https://lrsdcdn.sharepoint.com/:f:/r/sites/TeachingLearning/curriculum/Literacy/Early%20Literacy/Litt%C3%A9ratie%20structur%C3%A9e/La%20phon%C3%A9tique/Le%C3%A7ons%20du%20CBE%20M-7e%20ann%C3%A9e?csf=1&web=1&e=jb0IaL
Reading Comprehension,Intervention,Son au graphe,THaFoL; IDAPEL,Facilité à nommer des lettres; Facilité à lire des non-mots; Facilité à lire des mots; Facilité en lecture orale,(3-12),"3,4,5,6,7,8,9,10,11,12",,https://lrsdcdn.sharepoint.com/:f:/r/sites/TeachingLearning/curriculum/Literacy/Early%20Literacy/Litt%C3%A9ratie%20structur%C3%A9e/La%20phon%C3%A9tique/Son%20au%20Graphe%20(UFLI%20fran%C3%A7ais)?csf=1&web=1&e=xGgV6H
Orthography,Intervention,Programme d’intervention en lecture et en orthographe,THaFoL; IDAPEL,Facilité à nommer des lettres; Facilité à lire des non-mots; Facilité à lire des mots; Facilité en lecture orale,(M-3),"M,1,2,3",,https://lrsdcdn.sharepoint.com/sites/TeachingLearning/curriculum/Literacy/Early%20Literacy/Forms/AllItems.aspx?id=%2Fsites%2FTeachingLearning%2Fcurriculum%2FLiteracy%2FEarly%20Literacy%2FLitt%C3%A9ratie%20structur%C3%A9e%2FLes%20%C3%A9valuations%20et%20les%20interventions%2FLes%20interventions&viewid=46f2e15a%2D621a%2D4c2d%2Da473%2D2d8c27980932
Orthography,Intervention,Les leçons du CBE,THaFoL; IDAPEL,Facilité à nommer des lettres; Facilité à lire des non-mots; Facilité à lire des mots; Facilité en lecture orale,(3-12),"3,4,5,6,7,8,9,10,11,12",,https://lrsdcdn.sharepoint.com/:f:/r/sites/TeachingLearning/curriculum/Literacy/Early%20Literacy/Litt%C3%A9ratie%20structur%C3%A9e/La%20phon%C3%A9tique/Le%C3%A7ons%20du%20CBE%20M-7e%20ann%C3%A9e?csf=1&web=1&e=jb0IaL
Orthography,Intervention,Son au graphe,THaFoL; IDAPEL,Facilité à nommer des lettres; Facilité à lire des non-mots; Facilité à lire des mots; Facilité en lecture orale,(3-12),"3,4,5,6,7,8,9,10,11,12",,https://lrsdcdn.sharepoint.com/:f:/r/sites/TeachingLearning/curriculum/Literacy/Early%20Literacy/Litt%C3%A9ratie%20structur%C3%A9e/La%20phon%C3%A9tique/Son%20au%20Graphe%20(UFLI%20fran%C3%A7ais)?csf=1&web=1&e=xGgV6H
