Resource ID,Resource Name,Language Programs,Tiers,Literacy Pillars,Resource Types,Related Screeners,Related Subtests,Grade Ranges,Grade Filters,Notes,Evidence Classification,Hyperlink URLs
RES-0023,Phonémique version 1,French Immersion,1; 2,Phonemic Awareness,Instructional Resource; Intervention,IDAPEL; THaFoL,Facilité en lecture orale; Facilité à lire des mots; Facilité à lire des non-mots; Facilité à nommer des lettres,,,,,https://lrsdcdn.sharepoint.com/:b:/r/sites/TeachingLearning/curriculum/Literacy/Early%20Literacy/Litt%C3%A9ratie%20structur%C3%A9e/La%20conscience%20phonologique/Pratique%20Phon%C3%A9mique%20-%20version%201.pdf?csf=1&web=1&e=GVZhpR
RES-0024,Phonémique version 2,French Immersion,1; 2,Phonemic Awareness,Instructional Resource; Intervention,IDAPEL; THaFoL,Facilité en lecture orale; Facilité à lire des mots; Facilité à lire des non-mots; Facilité à nommer des lettres,,,,,https://lrsdcdn.sharepoint.com/:b:/r/sites/TeachingLearning/curriculum/Literacy/Early%20Literacy/Litt%C3%A9ratie%20structur%C3%A9e/La%20conscience%20phonologique/Pratique%20Phon%C3%A9mique%20-%20r%C3%A9vis%C3%A9.pdf?csf=1&web=1&e=uYTyKd
RES-0025,Programme d’intervention en lecture et en orthographe,French Immersion,2,Alphabetic Principle; Orthography; Phonics; Reading Comprehension; Reading Fluency; Vocabulary,Intervention,IDAPEL; THaFoL,Facilité en lecture orale; Facilité à lire des mots; Facilité à lire des non-mots; Facilité à nommer des lettres,(M-3),1; 2; 3; M,,,https://lrsdcdn.sharepoint.com/sites/TeachingLearning/curriculum/Literacy/Early%20Literacy/Forms/AllItems.aspx?id=%2Fsites%2FTeachingLearning%2Fcurriculum%2FLiteracy%2FEarly%20Literacy%2FLitt%C3%A9ratie%20structur%C3%A9e%2FLes%20%C3%A9valuations%20et%20les%20interventions%2FLes%20interventions&viewid=46f2e15a%2D621a%2D4c2d%2Da473%2D2d8c27980932
RES-0026,Quick Phonics Screener,English,2; 3,Alphabetic Principle; Phonics,Drill Down Assessment,CTOPP-2; DIBELS,Blending; Elision; Letter Naming Fluency; Maze; Nonsense Word Fluency: Correct Letter Sounds; Nonsense Word Fluency: Words Read Correctly; Oral Reading Fluency: Accuracy; Oral Reading Fluency: Words Correct; Phonemic Segmentation Fluency; Word Reading Fluency,(K-12),1; 10; 11; 12; 2; 3; 4; 5; 6; 7; 8; 9; K,,,https://lrsdcdn.sharepoint.com/sites/TeachingLearning/curriculum/Literacy/Early%20Literacy/Forms/AllItems.aspx?csf=1&web=1&e=zM0Vr5&CID=09cccb99%2D754e%2D4539%2Dbacd%2D63499595c8ed&FolderCTID=0x012000F20499129962D74E9046ECDF35332B03&id=%2Fsites%2FTeachingLearning%2Fcurriculum%2FLiteracy%2FEarly%20Literacy%2FStructured%20Literacy%2FAssessments%20%26%20Interventions%2FPhonics%2FOther%20Phonics%20Assessments%2FQuick%20Phonics%20Screener%2Epdf&viewid=46f2e15a%2D621a%2D4c2d%2Da473%2D2d8c27980932&parent=%2Fsites%2FTeachingLearning%2Fcurriculum%2FLiteracy%2FEarly%20Literacy%2FStructured%20Literacy%2FAssessments%20%26%20Interventions%2FPhonics%2FOther%20Phonics%20Assessments
RES-0027,Rewards,English,2,Phonics; Reading Comprehension; Reading Fluency; Vocabulary,Intervention,CTOPP-2; DIBELS,Blending; Elision; Letter Naming Fluency; Maze; Nonsense Word Fluency: Correct Letter Sounds; Nonsense Word Fluency: Words Read Correctly; Oral Reading Fluency: Accuracy; Oral Reading Fluency: Words Correct; Phonemic Segmentation Fluency; Word Reading Fluency,(4-12),10; 11; 12; 4; 5; 6; 7; 8; 9,,**,
RES-0028,Son au graphe,French Immersion,1; 2,Alphabetic Principle; Orthography; Phonics; Reading Comprehension; Reading Fluency; Vocabulary,Instructional Resource; Intervention,IDAPEL; THaFoL,Facilité en lecture orale; Facilité à lire des mots; Facilité à lire des non-mots; Facilité à nommer des lettres,(3-12); (M-2),1; 10; 11; 12; 2; 3; 4; 5; 6; 7; 8; 9; M,,,https://lrsdcdn.sharepoint.com/:f:/r/sites/TeachingLearning/curriculum/Literacy/Early%20Literacy/Litt%C3%A9ratie%20structur%C3%A9e/La%20phon%C3%A9tique/Son%20au%20Graphe%20(UFLI%20fran%C3%A7ais)?csf=1&web=1&e=xGgV6H
RES-0029,SRA Corrective Reading,English,2; 3,Alphabetic Principle; Phonics; Reading Comprehension; Reading Fluency; Vocabulary,Intervention,CTOPP-2; DIBELS,Blending; Elision; Letter Naming Fluency; Maze; Nonsense Word Fluency: Correct Letter Sounds; Nonsense Word Fluency: Words Read Correctly; Oral Reading Fluency: Accuracy; Oral Reading Fluency: Words Correct; Phonemic Segmentation Fluency; Word Reading Fluency,(3-12),10; 11; 12; 3; 4; 5; 6; 7; 8; 9,,**,
RES-0030,SRA Early Interventions in Reading,English,2,Alphabetic Principle; Phonemic Awareness; Phonics,Intervention,CTOPP-2; DIBELS,Blending; Elision; Letter Naming Fluency; Maze; Nonsense Word Fluency: Correct Letter Sounds; Nonsense Word Fluency: Words Read Correctly; Oral Reading Fluency: Accuracy; Oral Reading Fluency: Words Correct; Phonemic Segmentation Fluency; Word Reading Fluency,(K-3),1; 2; 3; K,,*,
RES-0031,UFLI Manual,English,1; 2,Alphabetic Principle; Orthography; Phonics; Reading Comprehension; Reading Fluency,Instructional Resource; Intervention,CTOPP-2; DIBELS,Blending; Elision; Letter Naming Fluency; Maze; Nonsense Word Fluency: Correct Letter Sounds; Nonsense Word Fluency: Words Read Correctly; Oral Reading Fluency: Accuracy; Oral Reading Fluency: Words Correct; Phonemic Segmentation Fluency; Word Reading Fluency,(K-2); (K-2); (FI 2-3),1; 2; FI 2; FI 3; K,,**,https://ufli.education.ufl.edu/foundations-materials/
RES-0032,UFLI Placement Assessment,English,2; 3,Phonics,Drill Down Assessment,CTOPP-2; DIBELS,Blending; Elision; Letter Naming Fluency; Maze; Nonsense Word Fluency: Correct Letter Sounds; Nonsense Word Fluency: Words Read Correctly; Oral Reading Fluency: Accuracy; Oral Reading Fluency: Words Correct; Phonemic Segmentation Fluency; Word Reading Fluency,,,,,https://lrsdcdn.sharepoint.com/:b:/r/sites/TeachingLearning/curriculum/Literacy/Early%20Literacy/Structured%20Literacy/Assessments%20%26%20Interventions/Phonics/UFLI%20Placement%20Assessment.pdf?csf=1&web=1&e=x8NIof
RES-0033,Word Connections,English,2,Phonics; Vocabulary,Intervention,CTOPP-2; DIBELS,Blending; Elision; Letter Naming Fluency; Maze; Nonsense Word Fluency: Correct Letter Sounds; Nonsense Word Fluency: Words Read Correctly; Oral Reading Fluency: Accuracy; Oral Reading Fluency: Words Correct; Phonemic Segmentation Fluency; Word Reading Fluency,(3-8),3; 4; 5; 6; 7; 8,,**,https://lrsdcdn.sharepoint.com/:f:/r/sites/TeachingLearning/curriculum/Literacy/Early%20Literacy/Structured%20Literacy/Phonics/Middle%20Years%20Phonics%20Resources/Word%20Connections?csf=1&web=1&e=qZBz6e
RES-0034,Word Origins,English,1; 2,Orthography; Reading Comprehension; Vocabulary,Instructional Resource; Intervention,CTOPP-2; DIBELS,Blending; Elision; Letter Naming Fluency; Maze; Nonsense Word Fluency: Correct Letter Sounds; Nonsense Word Fluency: Words Read Correctly; Oral Reading Fluency: Accuracy; Oral Reading Fluency: Words Correct; Phonemic Segmentation Fluency; Word Reading Fluency,(3-5); (3-8),3; 4; 5; 6; 7; 8,,**,
RES-0035,Words Their Way Inventory,English,2; 3,Phonics,Drill Down Assessment,CTOPP-2; DIBELS,Blending; Elision; Letter Naming Fluency; Maze; Nonsense Word Fluency: Correct Letter Sounds; Nonsense Word Fluency: Words Read Correctly; Oral Reading Fluency: Accuracy; Oral Reading Fluency: Words Correct; Phonemic Segmentation Fluency; Word Reading Fluency,,,,,https://lrsdcdn.sharepoint.com/:f:/r/sites/TeachingLearning/curriculum/Literacy/Early%20Literacy/Structured%20Literacy/Assessments%20%26%20Interventions/Phonics/Words%20Their%20Way%20Inventories?csf=1&web=1&e=bKahaI
RES-0036,Éclair,French Immersion,2,Alphabetic Principle; Phonemic Awareness; Phonics,Drill Down Assessment,IDAPEL; THaFoL,Facilité en lecture orale; Facilité à lire des mots; Facilité à lire des non-mots; Facilité à nommer des lettres,,,,,https://lrsdcdn.sharepoint.com/sites/TeachingLearning/curriculum/Literacy/Early%20Literacy/Forms/AllItems.aspx?csf=1&web=1&e=AKITHH&CID=a28657b0%2D63a1%2D482e%2Db4ba%2Dbbf7e907d7d7&FolderCTID=0x012000F20499129962D74E9046ECDF35332B03&id=%2Fsites%2FTeachingLearning%2Fcurriculum%2FLiteracy%2FEarly%20Literacy%2FLitt%C3%A9ratie%20structur%C3%A9e%2FLes%20%C3%A9valuations%20et%20les%20interventions%2F%C3%89clair
